Yazar,Tarih,Baslik,Sikayet,Kaynak
carl gustav,03.01.2001 04:05,IKEA Genel,battal boy mavi sari torbalarini dali$ okulunda kursiyer malzemesi ta$imak için caldik oldukca saglam ciktilar 3 senedir patlatmadan kullaniyoruz.,Ekşi Sözlük
yoda,03.01.2001 19:47,IKEA Genel,mobilya supermarketi olayini cikaran sirkettir. avrupa'nin en buyuk mobilya ureticisi oldugu gibi en hizli gelisenleri arasinda yer alir. mobilya bakimindan supermarketlerinde yok yok denebilir.,Ekşi Sözlük
otisabi,23.01.2001 18:22,IKEA Genel,fight club da fürni olarak geçiyordu.,Ekşi Sözlük
kitkat,13.05.2001 03:23 ~ 30.06.2001 18:59,IKEA Genel,"reklamlarında üç psikopat yarma finin insanların evine girerek ikea'ya gitmeye zorladıkları, tehdit ettikleri, sonunda da ""come and see ikea or we'll come and see you"" dedikleri, mağazada çok fazla satış elemanı çalıştırmayan, eşyaların montajını da evde kendin yaptığın için süper ucuz, süper kaliteli mağaza.",Ekşi Sözlük
lord aragorn,10.06.2001 18:32,IKEA Genel,"evinin ic dizayniyla ugra$an ve benim gibi az parasi olanlar icin cok $ey barindiran, hic alinacak bi$ey olmasa da en azindan bir yigin yeni fikir barindiran mabet gibi bir yer.",Ekşi Sözlük
everythingbutthegirl,11.10.2001 15:24,IKEA Genel,"mudo concepti düşününce, keşke bu daha kaliteli, daha yaratıcı ve daha ucuz olsa denir ya hani, işte bu ikea odur.",Ekşi Sözlük
unsaid,04.05.2002 21:19,IKEA Genel,tezimi yazarken case study olarak kullanacagim firma. cost leadership ile kaliteli bir imaj yaratilabilir mi sorusuna cevap vereceklerini umuyorum. tanri ve ikea yoneticileri bana yardimci olsunlar.,Ekşi Sözlük
kenny,21.05.2002 10:39,IKEA Genel,"amerikada ilk mağazayı açtıklarında izdihama yol açan, modüler sistemler sayesinde koca mutfağı arabanın bagajına sığdırmanızı sağlayan ,elinize verdikleri kartımsı şeylerle lay lay lom şuraya bir masa buraya bir sandalye şeklinde ev düzmenizi bunu yaparken kendinizden geçip ufak çaplı bir servet bırakmanızı arzulayan mobilyacı. bi nevi diy.",Ekşi Sözlük
vpr,09.10.2002 13:59,IKEA Genel,"oldukca akillica yonetilen, dusuk maliyetli urunleri ucuz is gucune sahip ulkelerde (bkz: cin) kendi adina urettirip surum fiyatina satarak butcenize katkida bulunduran, bos bir evi en ucuza istediginiz sekilde doseyebileceginiz herseyi satan koca market. ayrica dev gibi malzemeleri (koca yataklari, dolaplari) hemen hop alip cikabileceginiz paketleme sekilleri ile parakende saticilikta cigir acmakta olan analitik dusunce harikalari diyari. bayginlik geciren isvec ekonomisinin gururu.",Ekşi Sözlük
dikakana bey,16.10.2002 12:02 ~ 12:05,IKEA Genel,"dünyada çalışanları tarafından en çok sevilen şirket konumundadır. çalışanların memnuniyet seviyesi tüm diğer organizasyonlara fark atmaktadır. bunun başlıca nedeni de yönetim felsefesidir elbette. ikea'nınsahibi durup dururken ""bugünkü karımızın tamamını çalışanlar arasında dağıtın"" diyebilmektedir. böyle bir anlayış da olsa olsa iskandinavlardan çıkardı zaten.",Ekşi Sözlük
dreamer,16.10.2002 12:04,IKEA Genel,bauhaus tarzı dükkanda kelebek mobilya tarzı eşyalar satan dev mağaza zinciri,Ekşi Sözlük
taurus,16.10.2002 12:14,IKEA Genel,"türkiye'ye gelirse kelebek mobilyanın götünde kelebekler uçuşmasına neden olabilecek kadar yaratıcılıkla ekonomikliği birleştirebilmiş mobilya üreticisidir,

http://www.ikea.com/",Ekşi Sözlük
charlottesometimes,16.10.2002 12:21,IKEA Genel,şirket olarak şu an türkiye'de de varolan lakin isveç ticaret odası toplantılarından başka bir atraksiyona dahil olduğunu henüz göremediğim grup..,Ekşi Sözlük
sleepwalker,05.11.2002 15:31 ~ 14.12.2006 13:09,IKEA Genel,"fight club'da tarif edilir:
""like so many others, i had become a slave of the ikea nesting instinct. if i saw something clever like a coffee table in the shape of a yin yang, i had to have it... i flipped through catalogs and wonder what kind of dining set defines me as a person""",Ekşi Sözlük
helpless,15.12.2002 16:10,IKEA Genel,"fight club adli filmin dvd kutusu bir ikea katalogunun geldigi paket'e benzer. bu da ne demek oluyor? bizler de o dvdyi alarak birerconsumeriz.
(bkz: bir ironi gordum sanki)
(bkz: bir kedi gordum sanki)",Ekşi Sözlük
