Sikayet,Kaynak
Ikea has the worst customer service . Ikea has the worst customer service. I've returned items over a month ago and I still haven't received my refund. Items get delivered broken and just to get help about what to do about the items is a nightmare. It's such a shame about their customer service,Trustpilot_USA
Pax wardrobe . Brought the pax wardrobe recently in the color grey beige and have recently found out the have discontinued the color so I can’t get the shelf draws in the same color.really annoying as they could of advertised that it’s being discontinued and I would have picked another color.,Trustpilot_USA
Love the design of everything but not… . Love the design of everything but not the quality,Trustpilot_USA
"Service Failures, Hygiene Violations & Staff Misconduct . I placed an order on Jan 21 (Order #1577191961) and paid €75 for premium delivery. It has been a total disaster.

Ghosted & Lost Item: They missed the first delivery entirely. Because of their error, they canceled the order and I lost a rug I wanted because it went out of stock.

Missing Items: On the rescheduled delivery, the paperwork and stickers indicated 3 sections of the delivery, but I only received partial items.

Unsanitary: They delivered the items in a supermarket cart, loose and unpackaged. Towels were left on the dirty floor.

Rude Service: I called immediately to fix the missing items. The hold time was so long I was late to a doctor's appointment. When I finally got through, the agent told me it was a ""useless conversation"" and hung up on me.

Chaos: They have created and canceled multiple re-orders for the missing items. My main large item is still delayed until Feb 5th.

IKEA logistics are broken. Do not order online",Trustpilot_USA
"Absolutely pathetic delivery service . Absolutely pathetic delivery service - first time round : 1 hour notice to pick up in the next hour.
Second time round: DPD van stops to take a picture of the house and leaves with an email notification “sorry we missed you” seriously?!",Trustpilot_USA
"Ikea is a big scam . Ikea is a big scam, I purchased on 12/20 many items worth of 1700 dollars of items, they shipped some of them and the others they sent an email saying some pieces are out of stock, so I called them and told them I can’t build the cabinet, desk and night stand with missing items, so I will return everything, they charged me for the pickup and they stole my money, never got my refund despite not even opening the boxes, every time I call, they keep saying it will take 7-14 days, it has been more than a month and 10days and still no money returned!",Trustpilot_USA
"Missing delivery- no communication . I am still waiting to receive the goods I ordered. IKEA received full payment, more than $2,500.00 on the 6th January. Delivery was advised to be on the 20th. Due to the size of the delivery and our health issues I organised helpers to be on stand by. Today is the 31st. I contacted IKEA numerous times but they were unable to help. Neither them nor I could reach Mainfreight. Mainfreight has not contacted me to date either. This is a very disappointing situation considering that the eta according to the app is still the 20.02.2026. The furniture at home has been pulled to bits to fit all the new shelves. It looks and feels like a bomb side.

Unfortunately I have no option but to wait as I am now 100% committed to the shelves I ordered.",Trustpilot_USA
"Everything about this company is wrong . Everything about this company is wrong. They try to play nice under the Scandinavian appeal but their practices are predatory. Firstly, the quality of their furniture has gone down. Their stores are a nightmare to navigate and exit, the delivery is €40 euros + another €40 to return, the people that help you att the help desk to return are extremely slow , inefficient and rude.

The products have insufficient information on line and are a nightmare to assemble (plastic screws that get stuck)",Trustpilot_USA
"Ordered and paid for Pax wardrobes . Ordered and paid for Pax wardrobes. Two weeks on, missing part of the order. Ikea cannot confirm when I will receive as have no stock. Very disappointing. I paid in full and was told all was in stock and now left worrying what happens if I don’t get remaining missing items.",Trustpilot_USA
"Quality has become very poor . The quality of the products has gone downhill in a big way. The sofas in particular are of much poorer quality with many having cheap backing on the hidden side of sofa cushions. We used to buy regularly from Ikea and thought quality was reasonable for the price but this is no longer the case. It's ok for small items, like picture frames, plates, cups etc but I won't be buying furniture here again.",Trustpilot_USA
